bulan,cabang_olahraga,event_olahraga,nomor_pertandingan,nama_peraih_medali,medali,jumlah
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Dada Putri,Sasy Zahrani,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Kupu-kupu Putri,Aurel Thallah Devita,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Aurel Thallah Devita,perak,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,La Ode Fikri,perak,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Ganti Perorangan Putri,Widad Audir,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Widad Audir,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Widad Audir,perak,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Widad Audir,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putra,M. Adlan Sumori,perak,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Rico Zelmi,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putri,Asih Setyorini,perak,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Kupu-kupu Putri,Asih Setyorini,perak,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putri,Asih Setyorini,perak,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri,Nadia Sectio,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri ,Almira Pohaci,perak,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Kupu-kupu Putri,Cintya Nariska,perak,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Alvia Azzahra,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Aurel Thallah Devita,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Kupu-kupu Putri,Sasy Zahrani,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Bebas Putri,Sasy Zahrani,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,50 meter Gaya Punggung Putri,Desvita Sicilla Unu,perunggu,1
8,Renang,Kejurnas Antar PPLP/D 2018,100 meter Gaya Bebas Putri,Desvita Sicilla Unu,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Bebas Putra,Rico Zelmi,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,200 meter Gaya Ganti Perorangan Putra,Rico Zelmi,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putra,Jovanta AP,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putra,Jovanta AP,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Dada Putri,Asih Setyorini,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,100 meter Gaya Punggung Putri,Almira Pohaci,perunggu,1
9,Renang,Kejuaraan Renang Ganesha,50 meter Gaya Punggung Putri ,Almira Pohaci,perunggu,1
